"Software Engineer - OpenStack","Canonical - Jobs","Remote in Vancouver, BC","https://ca.indeed.com/rc/clk?jk=c44cac95960cae74&fccid=d40b824c7b625849&vjs=3","896145949136d183599fa082321c75d5a362471290056efa8e985671927a3e2c"
"Cloud Engineer","Deeta IT solutions INC","Brampton, ON","https://ca.indeed.com/company/Deeta-IT-solutions-INC/jobs/Cloud-Engineer-f56444e22af8699a?fccid=b65ef42bc21451af&vjs=3","0b1570db71808fc3d8b0c932b307f708bb92ceb5e7f4647876348fa262754632"
"Computer Programmer (E-Learning Software Engineer)","GP Strategies Corporation","Canada","https://ca.indeed.com/rc/clk?jk=430a87e730bf52ff&fccid=e9c638c81ed1b5bb&vjs=3","b240648c7767303a27703a55840f937073c61c73e957d60de7808a9e4c54c501"
"Data Engineer / Business Intelligence Developer (Remote)","Trading Central","Remote in Ottawa, ON","https://ca.indeed.com/company/TRADING-CENTRAL/jobs/Data-Engineer-8472b318d344beaa?fccid=d1206fb70b7946c3&vjs=3","80628e13fcd6f33e62d8290bee710f2d249dcf0c178d969caf1345948ff6e223"
"Software Engineer - OpenStack","Canonical - Jobs","Remote in Toronto, ON","https://ca.indeed.com/rc/clk?jk=8ac616be7525c8e6&fccid=d40b824c7b625849&vjs=3","5c63d4b7e6cece25e15369054018e39606e92f21f2b2cded5f09a56b30b525a0"
"Migration Devops Engineer- Consultant/Sr. Consultant","Virtusa","Toronto, ON","https://ca.indeed.com/rc/clk?jk=8b7ebcdbd812420a&fccid=146443e77d8c0778&vjs=3","caf437e1870f84facfa67ee03ad75ed0fe604b936202ebca213e612106f5e951"
"Senior Developer","Ericsson","Remote in Ottawa, ON","https://ca.indeed.com/rc/clk?jk=dd447b16969f21c5&fccid=82656d64a9a3e6a7&vjs=3","016ab73655749cc91a11dd621ed78141e71ac538a108373b614fad4a18f521b7"
"Integration developer","Aldo Groupe","Montréal, QC","https://ca.indeed.com/rc/clk?jk=ecf9015fcc3f8735&fccid=1c905c1d0cf95930&vjs=3","f03e8629a881efcd9e03b30a40f890239af04572b4bba7c7941ccf974ac0a97a"
"Software Developer-Laboratory","ITR Laboratoires Canada Inc","Baie-d'urfe, QC","https://ca.indeed.com/rc/clk?jk=e3a4669669c2b629&fccid=284abc678158aa30&vjs=3","5890c13a68c1f8f5363717a72c40abde76c876fab932a023b91049131d549967"
"DevOps Engineer","ESO","Temporarily Remote in Toronto, ON","https://ca.indeed.com/rc/clk?jk=60caadbbc23a13c3&fccid=95d73ba8300029ea&vjs=3","4b0257c7bfc2eb2c906ae45abcf2e0091186c5dfb111ea425ae7b0075dc4d9bd"
"Programmer Analyst","Delta Police Department","Delta, BC","https://ca.indeed.com/rc/clk?jk=8f37746ffe88714e&fccid=d4a6bc418beffeca&vjs=3","156a460864ddbc0d40adc6036da3b39849bd4214242ba83d4edad65234dfabe1"
"SOFTWARE DEVELOPER - INTERMEDIATE TO SENIOR","Talan","Toronto, ON","https://ca.indeed.com/rc/clk?jk=6c5da1ccba64fcd4&fccid=9b33f1f43112d3cb&vjs=3","21efa1dac3bbaf47ae395150c2fbce3059c6ee1649e8117a40550f57f7572208"
"Lead Full Stack Developer","COREL CORPORATION USA","Remote in Canada","https://ca.indeed.com/rc/clk?jk=96339e50b2586731&fccid=4d9aaa630f41a058&vjs=3","75c4e45a5c46a70902ac8aad1da21f40559ae031788bbce0aa911e179a59a8b9"
"Java Full Stack Developer","SHGT","Calgary, AB","https://ca.indeed.com/company/SHGT/jobs/Java-Full-Stack-Developer-665a8a15a63edae9?fccid=8bf5eb139f006488&vjs=3","1d8115561e939b3406942a30ab91b390adcd635b465d5b1b9a01153428c5c3ef"
"Front-End Engineer, Direct Connect","Amazon Dev Centre Canada ULC","Vancouver, BC","https://ca.indeed.com/rc/clk?jk=dee4629eb4a11216&fccid=fe2d21eef233e94a&vjs=3","f0115cad27639fdf5d969b9c729894441eaeb7181ae6b16f573e03fcd3674998"
