"Android developer intern / Stagiaire, développement Android...","BetterSleep by Ipnos","Montréal, QC","https://ca.indeed.com/rc/clk?jk=dc2a2f6030308fb9&fccid=331cff4b92d0f3df&vjs=3","44762d47d69ca2c968fbc7be6ce841930f33084be3230ad9a08e41d67ae66c78"
"Unity Developer (C#)","TTT Studios","Vancouver, BC","https://ca.indeed.com/rc/clk?jk=5985319bd3e67cde&fccid=ff1ae57d9f9ed5b1&vjs=3","d199d66db8ab6c7507594bb822bbef975f91e99659153d3da9a1bb6f02350930"
"Golang Software Engineer - Automation Tools Development","Litmus Automation","Remote in Toronto, ON","https://ca.indeed.com/rc/clk?jk=9a2e36d94a75cb4a&fccid=4163921a6e399158&vjs=3","24c92d75f7f0ada79583260d77ac273361522546dce1138cee439536567e4561"
"Software Development Manager, Alexa Speech","Amazon Dev Centre Canada ULC","Toronto, ON","https://ca.indeed.com/rc/clk?jk=1eb13feaef79762d&fccid=fe2d21eef233e94a&vjs=3","2a6708b4be5e155af24963b89fd0748dad0ca4638a90efec6eb0bb40dddf9c6d"
"Sr. Software Quality & Automation Engineer","ELEMENTS Global Services","Toronto, ON","https://ca.indeed.com/rc/clk?jk=e8dfbace45a4122b&fccid=a81936551e7ad03b&vjs=3","c2414a13d4006d8b73b80464008bb6efc9a4659c2f0c677c4f9906a2612c6d0d"
"Senior Software Developer","Ceridian","Remote in Toronto, ON","https://ca.indeed.com/rc/clk?jk=5da8ec262055c68b&fccid=837c958b2711fe23&vjs=3","63dbf47b011da56466710bdc0837a2d0ad98c0f6d38eba19d324505a5491f967"
"Senior Software Engineer (.NET / C#)","ELEMENTS Global Services","Toronto, ON","https://ca.indeed.com/rc/clk?jk=824b87c3d63155ca&fccid=a81936551e7ad03b&vjs=3","1c62d794b24950660986d8c5c26c861700644760c5222fe80938a69d06a0aa4d"
"Employment & Training Services Job Developer","The Multicultural Council of Windsor and Essex...","Windsor, ON","https://ca.indeed.com/company/The-Multicultural-Council-of-Windsor-and-Essex-County/jobs/Employment-Training-Service-Developer-619791952e3f5c9f?fccid=5c18579d370aeeaf&vjs=3","62d7ef576fbd60796272e04acd053add3fa461dd64de4bf9fb3d96c893f32ef4"
"Senior Android Developer","Score Media and Gaming Inc.","Toronto, ON","https://ca.indeed.com/rc/clk?jk=7078913727de8e1f&fccid=f3601d25e25aa8a7&vjs=3","70c0886b22c04bd0d70e1b8bfd600c9b3154c14ef08df3d47e8934c7133aafc7"
"Associate Director, Lead Software Developer","Royal Bank of Canada","Toronto, ON","https://ca.indeed.com/rc/clk?jk=38a5ee203664696e&fccid=537b899e30af3338&vjs=3","ef4ef05d69c76c09c33942cd484cbbdf6b1bef2e62bf1d1c856dd62db4bc3fa2"
"Full Stack Developer - Node JS","Arthur Grand Technologies Inc","Toronto, ON","https://ca.indeed.com/rc/clk?jk=2894be24b3d6089a&fccid=115c0c3ffa0241fa&vjs=3","fdf9919225b9e7232ea94a9ceaae1ab0c28cc74af24e9eba1b28dc4c436b4e01"
"Frontend Developer (Hybrid/Remote)","Hubly","Remote in Vancouver, BC","https://ca.indeed.com/rc/clk?jk=509dfe4e0579559b&fccid=02ebf9dfaf58394f&vjs=3","13409c4685d954f172c0a0275a38f5daeb68e74069c45821ab1fb59088b0cc19"
"AUDIO PROGRAMMER - IMPROBABLE","Studio Vision","Canada","https://ca.indeed.com/rc/clk?jk=00b393759ac2edef&fccid=6efd99003b3e4999&vjs=3","586d49d82f2d42abf9729b2dc05250caeb3976862d0c27eee6e41f05b0d7ffca"
"Machine Learning Engineer","Parallel Domain","Vancouver, BC","https://ca.indeed.com/rc/clk?jk=deaf832b40e899d0&fccid=9959203efaf2f59e&vjs=3","272b5c2604f410b40d8ed5df65e0c64f21d7512ccf43856ba6e10110d3b0bf2e"
"Conseiller princ. dev et app.","Rio Tinto","Saguenay, QC","https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BRuIYpQVIGPNIsttW2YIHiaz2TcgBIwKXfnGtrqPJexB9VJZ65bEzBC1e8fUx6XIAfH9NnICEfRANmXeevyrbSm8HRNmwb4DmbPmlLcCbaL3jfevimM6cFMSyGptQPdwOo8RV6HLCu4bDp3JLcxVKvMz9CQFSzjNvhVXst5rUaH3y4LS0ybKRumO_Z0r462iyaYYGLDlXTbv-XrzO_8Mey-ae0dXoiFGS35AsQZiufTWdufurgfa5hWh70XXqBNvFNcZdsbGqHtRc51jbGx6CE5cYj2UQb7z_dWzkvvPvt7ZM6sHp1JpnUh8UbzEiWsg84fRK7smY5h-8aOcCgCQKbWHm-JaCAXF2RNFZtcVEcLkcI6lW557QNRTOtclkAR9dWx-WT8aNt1R0D-lIFpOob7OT1x3A4hxYfRiIoOK76b5ppK4S4X8tKz6PKkqQZf6ywWzlWxGAWp8xSJqAJFvctaZH5OjJsvlOpnELnxnx2RYW7Yy7sNyo6ngnz_T7iPJpteChO1SyhXQ==&p=14&fvj=0&vjs=3","e44493d3dfbb56daed5b9098a2cc5fe91f5c68c8306f57d903190914eab1ccaf"
