"Specialist, Events & Programming","Downtown Winnipeg BIZ","Winnipeg, MB","https://ca.indeed.com/rc/clk?jk=4c68333b99b99304&fccid=92621613c36d97b4&vjs=3","a69ef86a8b4fddc8583e51786e92e0c4a2f6461fe32f620485833195be84426e"
"Software Development Engineer, AWS Step Functions","Amazon Dev Centre Canada ULC","Vancouver, BC","https://ca.indeed.com/rc/clk?jk=f1aadf0bac09622f&fccid=fe2d21eef233e94a&vjs=3","e8295703e274eba23e2a449aaaddade2cd6e8eb9d69afd03846941b0f9c89760"
"Solutions Developer","Challenger Motor Freight Inc.","Cambridge, ON","https://ca.indeed.com/rc/clk?jk=186b27cfb0108071&fccid=ba5d3347df98493d&vjs=3","6395f2c60981b5f7d3c346b67eb359cfbfb6a25e402b74794e78420f199f55c4"
"Cloud Support Engineer I - Mandarin Fluency","Amazon Web Services Canada, In","Hybrid remote in Ontario","https://ca.indeed.com/rc/clk?jk=ee9954ac760f07f4&fccid=5cc0cdc6dbb121cc&vjs=3","23124d361f60974493e08542e852a941b6ca622db22094ffd00830a4e28e4755"
"Lead Full Stack Developer","COREL CORPORATION USA","Remote in Ottawa, ON","https://ca.indeed.com/rc/clk?jk=4f9eb5bcb05084ad&fccid=4d9aaa630f41a058&vjs=3","a7e83487cd147de89c592238bcc411e757098085984458369c93b5ee6ef79a48"
"Senior Software Engineer (Remote Toronto Canada)","Autodesk","Remote in Toronto, ON","https://ca.indeed.com/rc/clk?jk=2a8a975d0ad012e8&fccid=7136762d065a5ad7&vjs=3","97f61f979c8d5ab825eeb952020f567af1662f83c81fd6d51702ed836654fce9"
"Software Engineer - OpenStack","Canonical - Jobs","Remote in Montréal, QC","https://ca.indeed.com/rc/clk?jk=d0a1c81cb798ed18&fccid=d40b824c7b625849&vjs=3","1cf1e961525462f6fe997e6687e68861f52653dd88ee4f31e262c7e41e01d90c"
"Senior Applications Software Developer","BlackBerry","Ottawa, ON","https://ca.indeed.com/rc/clk?jk=3f382dd36826c174&fccid=a311d3f78a9495c2&vjs=3","c81041f6d464f2746be279b16496b3cfda0e88c961b5693b3b87d6f4a6b9bf0b"
"Software Engineer, AWS Insights Utilization and Coverage","AMZN CAN Fulfillment Svcs, ULC","Vancouver, BC","https://ca.indeed.com/rc/clk?jk=43543c963f933ac4&fccid=fe2d21eef233e94a&vjs=3","cdc612dcbfabfa9bf64c785c088c3a0be48cfcfe68f79746135f3e46c0ca19a6"
"ETL Developer","Innovapost","Ottawa, ON","https://ca.indeed.com/rc/clk?jk=f42ed58afdfb238d&fccid=2bf8026993eece77&vjs=3","a04fe95a6126256976ed272e82e59d456c144a6ef3d16b7aaa26065fad6aa63c"
"CNC Setter/Programmer","RPPL Industries Ltd.","Brampton, ON","https://ca.indeed.com/company/CE-William-Ltd/jobs/CNC-Setter-Programmer-4cad5eceb75e6342?fccid=86e11eba4b73b9a9&vjs=3","4501793d2fdde0cbfdff7fd017446c30a2b16cb6b38c6cfe26c331c860ff168c"
"Senior Software Development Engineer","Amazon Dev Centre Canada ULC","Vancouver, BC","https://ca.indeed.com/rc/clk?jk=08e4905a6bd811d5&fccid=fe2d21eef233e94a&vjs=3","85e32605bfd5b44513f2135c5804bac6ae7637c10a7e3a3d10e42c25096a4efc"
"Python Networking Engineer","High Tech Genesis","Ottawa, ON","https://ca.indeed.com/rc/clk?jk=31a89deda0435aeb&fccid=af0f5dd582c553f5&vjs=3","6156cb7a4919d88a730ec09ea4bec2e192e9e6d6588417d6d569b98648a23249"
"Senior DevOps Engineer","Affinity.co","Remote","https://ca.indeed.com/rc/clk?jk=37ade1919590ae76&fccid=1b32be4e9bf5cb2a&vjs=3","e73eedb65caa56eab62c15e07a4be88e9323a5c4b082cb0ef8c7389a94a10e74"
"Software Developer, Analytics Engine, C++ - Remote","Kinaxis (Product)","Remote in Ottawa, ON","https://ca.indeed.com/rc/clk?jk=dd9f41bf949ce7dc&fccid=dd616958bd9ddc12&vjs=3","5b48e71b58d9f6d7a74d539261f7e47ffb0eb60e443db283e0bfc264e52babc2"
