"Full Stack Developer","Procom","Remote in Ottawa, ON","https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BreR47D9bMWJ28XlwS8rs2_GIFY3-vSdy_Xwl-swcV-gEaU0IKNimeyeYMQ-T30yVKPSLIxI_x-a-HXAgaExRst1RK8Az1RfZ-s-qqLjS_fuFwSowmuYUPGfTLMFlSHmDhUJqRD0N7rjzkLcljzuM70g3wrdzfK6Msuy1fAioxSiL4RmuUbTET9QUTviDpy3eziRVjwtEPjV55VtYJvWv-nZLrd_MDdY_36vKS924WgH-3pae2NBW0q79j_tHkHDXUIM6PF2ZPiG_KnRN5A_4Nbazo0gUHOE-RsDTI3k4VszSEtJvbi_W22Lik-H2hPyL4YgKwNxLpOYDYm4KnQ2haJOz1kDX25DwPSerj5KuHFuXe7iIp9hNA4SxjePck6T6HaopeX39HvoVclilaMDoEhnPdf1LpUmMDHG847tCgfJL3X42j3HK-Ktm9Ow-UWFWiKXqsijJddG0cNoFtBFMklEMDmFswzOwXCjKnyo8xHq9dfWgLerg1Ae4F9WJkBuY2si6vloGtT08C6jMursdiZ2p6dISngcR3znU3DmEiIng6c3ewufGV9AsM2rJ3K_cXbIRGeKV84eNQ5wfP5Q8kSRtNLyqPp1_yn40_wr1SABh55yqgLrCS9w1Mr1-au5k=&p=0&fvj=0&vjs=3","bd8d6ab1e22d8571fd5d02fe810d0cdbdcc7de7250dbf6c4e1d7d876addd97f2"
"Software Engineer - Android","CyberCoders","Toronto, ON","https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CpFJQzrgRR8WqXWK1qKKEqALWJw739KlKqr2H-MSI4eoBlI4EFrmor2FYZMP3muM3q8CJThxyMk5SyiWtdDxIHq-CyUS-rRgVEZQvQyt0LGI5pBG54veZc_Fm-jB-gEdczEGjyjzHIGUoVQ8zll7H7t2IAgMRPsvHdAupYsc52XOqkfu1E1yBzFP8c08RDvE7ZHvYUliBPBZKPvtyz4kCLRxm5qoc8trPe_4O7qvWBtsBwnLT3mJG6sBko-x-Zvsfd6DLazYRhh64JjldLQuSjX91Rsg2jVxxwY-L-aXSJmx6kRQWScXYK5Xg-BHmpi4tTjCw2InhlNjaQ0oC3btP63k3vc_A2HcD4-o1XTksQHe3-dagdPGTK9LVbyx9g7OV4AIcuG8HsFNPa1S2cvi89rtLkMFm5PE48sG0-BIbBA2qErp9Iv1cKB4-vVbjiMCmgPYEOysF0bpkIecPvZL0FUOBPujK0iC6b63NdukHC3Vqk3kLoQnNRloe3_iIASjeJPajqP0Kn2jDVfgKR76ZYJSJw3idQO687JGBaW2-k2mVZjLjqVu8tVITc7Mcdx3a8NA0ZT7U1lG-EHNjDooh8V2kWS99jWADuolJE0uMcDFtQiiwzJwZ4pDIOpIEMqDbZKO3fEx2wIsLG4YxW96ttzpUNhiFMO-E43UW5-736lrrtR2ePAYyYQ2etopyYefBZIlKdxo96bXgItECWpWYtnfbq3KxhL4-48IHmymJFAba9IoewGdh6R92ju3rUvYpBbJQ6QXwPwyB7OOSRWZCvV1oHGkRGApUtm5Y6lv9vMHBEA3BqluDW7JZnMm9cjwDJQ_I670wFEf6x0_kpxR6R5c3SeCgg1bAZEvLDFooCAjVgLEMbtwd_rH4f2Wmyd2q-El60S_UWpIbddlubPppgNKRWFgqWLufK0COvO-gHwnyj6HTTM_T675RofO8hO_ylOw4EJLM1INYRGKdFWt1mtrpEKsAZg1qveC8y0KXKxRhGJctajVQE&p=1&fvj=0&vjs=3","cabec44c7350926f6be5692c3619c2087e3b0f5917a87a21c49df70141df00ce"
"Software Development Engineer","Amazon","Remote in Toronto, ON","https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BGNkBmiOXLjZcOUhNR9zx3D9y9CFlq5Npvtu2C5xvbuLa9bZiIc54kaObAmtP2MtEVHLyrewmZED1NsmA6lLuitUXhswKT8EsDSYFUlCzqarkB_QnVAg-8VyXGOx7y-c9bkcJB9U1aoY4u35EZj-MnlBhw7tWelxfUR8E2phx_G3Yyh9jExZU199d_GPF0Etiq3qS2dDfqnyZhlqzoQkX0vG6HtY6qKkASV--2vRQectGqfapr17OwB1vDOUSgQuhx_pRMy4lmVK4PW7APkWdaF0luvzV8aL7mYNhPymRNGiAdNzB-2nXe9kVWJbpLJPts4FYFDXixgcpmlL9-KiaRcVdvk0WdBCsY7wxMk4bKpC1fiYDCEXBE1_XPfK2x3vMFA2YRy-A0ompQ0LYENk8nGSliy4caEh4xMM4t5uMmwvjFdCEnawNdZ-Xs0XdUKOIogXcn0OWP9xxHRj6r6xPSucj9ldiqeZP03IJjix0EPZztLwiXRAgf&p=2&fvj=1&vjs=3","a2cc22ea3d132e61862fae327695ce7ef1eb561e859fa8d636b0df17a185b244"
"Senior Developer - Ruby on Rails & React","Rankbreeze","Remote in Ontario","https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DGObeBxoaVyj3Yf6bNu9vrma_nUM_a_MQnH_i-8RypbPWnfeCp2cCtCrC_cH86TJxIGF9UIb-o5mfZh_QrfJ7uMILC5JcJqRb7Tq7nSP9C2_ELsA_YW8aggY7lc0cHx-DaiACAt1zugstwpfGfVokdZuWCScES8VtwVuhLyQSl8RvZQbFIhctBquEkfGHm7C8QHTiIduHb7gqVHrwtFdaDuWpdEw6s_T0Ih7BIzBBvvkSxTYaK5VaH00_SJmwXj_meZLLcBev_d1VuC7Q08rsD80D00ERTvw-tAE1UsqB75OKhj0bU_8B3mkIQcdKCAwvkfxU0c_u09YpxwaTVvhdXW9SxzuTQuYuisHNsnerLRKvoi2TCEgurXSOQyTg13iGQHqON6gfZYerwt1GrVs_eM2Hl_Ni_nX_Fm14DdVVKkJSWJQSAOzcoL9pR6OAO7897vL_qsqQ5xspxeVc-2H6S29Clba4V_A-dha3bN76o-E9P2zMzzC-r&p=3&fvj=1&vjs=3","12c79163f69414802581dd9a692c859efe4f84fb67f6a72cba31ca166199e57d"
"Programmer Analyst","Emergitel","Quebec City, QC","https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CQSHc5J7VUUA_yokepCrTYZsC9XZpU_l8QgBXAfn4iq2vauvTgMaQ-Ap-omMkO95NOa07I7OMgT1iK0fdZwVdcH-820gIJnfYivsspTPshKRusoJkYFKHcgW7UO0J6DsuTsmIIUCZK4j2o_DYD_yGE9eCsnkLGmhRtAjug4JJfi6dB0kN8f9lq2aKnTfoDo2QNjaJjDKATMPsFtVEMm7MQimBVatgo2S0mKmLndejZhZdBH8-91vTg85bc08H6GD4WHE3ovcqeCeaX7Hv-3pFmmJKXghRLlddtLNZTgXeN0g1kjjQ8qfRGJPONVxHB5RHd18Rk3HzCRYqYt-6d_MrnuYD3P80CK-vTrclJVwnFv05RngYvY_03MkH5aJeUn4b6FGdX6rrxDXcMfsDRmqS-EddqfyLedWVr0W_IvlW2OECs1tYNYGLkvdmLV81W_WqjKvKaB_qbP2s0FBrDg_SqhWl6RS3rDctEi0Wk1ZiaBg==&p=4&fvj=1&vjs=3","21d8542d7838c8326e160a9e53db1bfd3f607e5f593b1a3b32a3f0763f7bc8a1"
"Senior Software Engineer","CyberCoders","Toronto, ON","https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CpFJQzrgRR8WqXWK1qKKEqALWJw739KlKqr2H-MSI4eoBlI4EFrmor2FYZMP3muM2SfiZQKtD6Zpt9s3_SzEWG-GWUK2l4NPwMu9nkJNZ7kAtgjor3m2czDV1r3zSIczTCYr4qph4LA4oj5FQoH3PzsrNzvtGpVm_EpMkjg8wDhJhgVQzFj7Ea-gwYiTs0UXGLfI93s4cjmbAAhw-8cgjGDwO9dftIuSc1KFXaST_7gE8jQbsFsGDCBx_Nhd3tTb59LXJfTQ_-e7GWqve2i5MCheE_7_6udCM6KwC_jrp8RrwpbhFIzk_vl12iXEc1nCAtElpMVAIxbLf3wzcpglSuLaPD8z6KHai8mQfwrLPypAZW7GJE2piaslHK4Y_qV1BdD4NTQ5oj_qVp3I6N1Zaoviren6rYoEOMWfjG7YaIjusSuv7wBAKMo5z3X8oXEW1dlz71ShlvOh-BFV8Jk_BXmxu9OqZ-YFD0DQvr6rBA_DUiUTfKYAmx5yqXUux1J_0pPunUIRSK_4HMjPZKuvl4TSXw2Xe7VN-_BStC-eFiQfi8vA55bbbXQZDXZZwTVTkt2iD1tcP18B2qad0xA0IZBN9zPwoMxI4aQ5hNGoL618rpZIFQDQHAC0Uu_dJKJbZNYUFUEh5SAAA-KcBPHTVMSJ38Vgcc4FtpWQkGbYZGd7g3KZpcMGGDqH50-hHIpveuMKVzAYnie_aMlIflm9gF_KiBXWlCi3UH7hMOcOJmRSbt7KMhpQwtnsaacA2phGn_Zv75FDw5H4xppNnDRwjRDaCPY7FC-FsK_zmf__Tr70V672yudkG7T-koUAwvkifzrQbaFx-F_LBTIWTK9mVMRKC0rhCdec9dewHrir_UHlz_KRRJ-aDtUPFQlzMkesrPydFBdABXz-z5WvuE23aCxYiKwb1lJ2HMvEYfvUhePjBNX05uq4BugpaJO3rFhnH0xb3sSGX0L4hDDRAMMRIz-aUGDgDeXO7ploDlxrpNcPIsnsbXBADi&p=5&fvj=0&vjs=3","39fb167049e8996a492f903340d7b88f98e29dfa261972e9b47f1eca76d0ee79"
"Senior Python Developer","International Talent Resources INC.","Toronto, ON","https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BYIpfrgxfJlhg6xkyib-leczUUCGdx4gVrqbpknLnoKh2Q0jmnQ1_6ZJWC6E6WZgQHA7A7KdrPIV6QZK7zI7oNTeORnMc3EZd0RVS2qlkuy4fWjzK89MdkpPPayVTfgXVx37oW4IELXWhpbgKjWZ57CG7mguXNyjhcwqlMev9f9tTfX1cMmRLXgwgP28pTj5KfLJDCX_shecUDFu3rrfUinAnWGMDzShfpSos3R6zJkaEUNKpYW_ThpZz0QNOqazQ4C1HWuPOrCGSH1AT-dDs0wvYNYbzIUO1D8X-iV_9xgvJc6fD0KhDu1BWlEZNuSF0AzNByNdlXQjZbJFLJy9raLSOzh5yqPNoU_OJupsPInt3lApB1cPIoi1b_3PujyKl2DT6KkX-jLUksrK6k4FjdY6-Hto2n9PVCLFzF8LrUR7U9WskIzas2KW-p-GBUlRLvjvkqvRBDSxJ69zErOU2Jz_nlnToRDio=&p=6&fvj=1&vjs=3","9b8963157878932cc54372f2ecc8bf955d0e942bb61e65bcc14d0aaa33e45997"
"Software Engineering Manager ($100k-$150k CAD)","CyberCoders","Hybrid remote in Montréal, QC","https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CpFJQzrgRR8WqXWK1qKKEqALWJw739KlKqr2H-MSI4eoBlI4EFrmor2FYZMP3muM1F7RNStDlzSPXIp2AWa8WxMoQnWEFDJVvAFUiWHb2WWlxf5Z-buzW0haDL_KNH1XBPbFSVsIkbkG0LojI0DBt5A-dCaUE-EbyNcsYY1_mIiSXnnLu3Ily3GwyxVgBVA3PUF9kzP2ZpR3hHMETyKWt4skro32qKIoFgtcZh-nvTWMI65Tl_ujfMFYtFvvmrQ3tvqGzic-eDtazNUMLwPAlCmCbDsZwEBKHVttySBRGy3ab_HMEQzp8Z915mkw8snTBagHrb-CrncMx4ti1cAp2xY4lylNq5relNg-alyNCTOpZJl9MNnkISfT0ISU0a4PXE2j8g7xoZXIzgg3v6qxkO7O1JycsXsony5tREJk4k_sD65ZuP43SVEa_4j_8dO1Nc0AzyqULgjBmxHnhKE4XLQ7IjSlz0txJaRFuJ78ijhfhexfcjdHHxmMgcv4j2vaa0FolIqPhURTi1pKo4nvSra34DB0173w3JjksDMM5S2RXCIEOEJ4DAFjzPZjjiUoj_-AiPMBaIEaeoOKUTyFDXmLLaUJ_hEluZGzYeMIOPRCGbrADLmjNoRxbRJxCJ7hsDP7oumR7aYyYyTvo405ODpl4KMF5ewnybNYwvei94NlVoda9qLrIHroxcs1YCKtBzdsomsrN1nOhlHjHwwanVz4BjeD2jCB2e5xkQCFDQJW1NZvJmrkmFIndpIil1fF437-LAVdp8bxQGxADY_2LPfawZnZvvCB88xJedNG3PvBTUf_-p3ex-NjL7K_4OgI7FLhkNHHDXJ8lG770_kCFkTB34Hh52SVvemM0Bx0h2ZdGw8nttZwN0C7On1R-3mx3NFUzXOTaef8j0IiwLEkAziGqJI931oBSBokBT-bLiTE8hGJfA4maIyEiipAQJnrFVlUGcJ73JKRexZ0TnXVum&p=7&fvj=0&vjs=3","ae76bdad4fbc10f7b39d5e14095c1d43604d83c25c4842b8131c72d50defe48a"
"REMOTE Senior Python Developer","CyberCoders","Remote in Toronto, ON","https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CpFJQzrgRR8WqXWK1qKKEqALWJw739KlKqr2H-MSI4eoBlI4EFrmor2FYZMP3muM0So7EQFPBPuQOCifKnjO7gI1vKXSAJg1HyRrehEPiKQ5vuuzk2KrvEpoylXjv4GKt9lh8Vsk6eAB7Ejh21sHc2aXzIPgeVDIJs8N-XjySPtI0wUlJSmsNvGzgF2NxIljYcz12aC4Setx3iVLTOvPrwVfCqhGQ0koXurVsTdII-e62qPRjcuMjscmlBwSxaAZPctz7T6Et1zrLTbY413-OVLhKSNFOBgiu95cn0fuofB16l1t1sAiLcpzzUdW5F1wQplo72EtEMut-NukTzrWeu3kSzZx92lLeqXPco8EoDMEdyWfe-gXt-Z9vNE8N_L1ATiVUXiwUFP0YQkgKfBDiAfln60Z1jPoGdA6jOjXUPOtckS2MAPOGGhnhMRBMV0IQ74Lwsac6_pM6xOTeafyhexn6GkfINNtJwaMov4PojE6AbhBrz94dTIdvvnYFovz6XGIrWjM6uDF7zzqaYclZdwa0MOQR6YoB4i5XwQEhPORr7oSsP9NPJEE6rgUT_L6PQTd3-i2llk0CNReXwH3bsfoBfUlayFMNK5aNESxfXMUYKHt5qFU95ehgFkxyaPHKYyPK3IaVeQ7iAoQEsA_tMFx1XVSKOPpeKPuJk97UCazj-oL8e9q38wDJLq0ti3CrO4lCD2D7mZ8TPWmPmscCK-kPKrTbS9P7ZWGEuIuabfUIyEM8lIinh9dwtmfdDIV9tzEqA9DtImvml6-f36ZCoFLCdZfSg88SYH0vzOHo9nywTeF5Pr-YZiusPtcl6GmPnElOyxf7v5RVbG1RNyQgxn_CpkDMjsbbcZOieDTiNZvXolmeBi4Y2Bwewgf6wEubcNF18jMn75Vn-UAXxOb7HheajAeObLY85J-dwBdir4H9A-7P6rQhXKrYLgFGp0rJGAA9C0GbDru4LvjQ0vVDK&p=8&fvj=0&vjs=3","ef1ada1e17f1bbff364bf41e16e5c186616ce8753e8f5ecfca417140fb68fdce"
"Software Developer - Full Stack (6 Month Contract)","Intelliware Development","Toronto, ON","https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D0ff9e8Lfwlpl5zGbQmpn59AL71QmFd7VKOAnfyjZzp5sdngV8WPgYe0dov1m7Y2mLLHs2NGStxCC_BDJWSQmaG5uwdl9rsMOqA_qMurrpu1_7OWRZpxOoLK_9-ySJ3wYom8Xncv1M3tx2EEHYvh3ZgxW-R6yKLfFVXph8dQ-noF6j29mGOqKdU-4-Vyuz4AV1mRoFSmCFbfRUiaA8jhjdDXsLJ3_lJmCOCn4fiE3R_ruFjdnQZgRtyuW42qKhAXSCn7H6BxBOLDMXC0ds5q-OhkbYa0G_K31K2l6N3ZzdEkoQkVRGhk_29Cu37mEKxLb1DSFzG1zpf0WFuNxBtPf6e8FHhtvbIly69DaqFdb7NxZrA4g5GrWDoDjMAV9hZg9XHivhria2Me28sAfboz6FvnSViNhX-1v9NcSbJ08ZV8jcIdYt1Rdn2R590ksUQYE=&p=9&fvj=0&vjs=3","69cb34555eb25bcb7d4dae739f4762e93474110612da5e9c1a044a79873baef5"
