"Senior DevOps Engineer","Affinity","Remote in Vancouver, BC","https://ca.indeed.com/rc/clk?jk=893a3c00e8fee345&fccid=88d4d6123f755c44&vjs=3","4b7d651751232b3f56b7bb67182049b69544a250695b914afd3047c123f0df20"
"Telco Field Software Engineer","Canonical - Jobs","Remote in Montréal, QC","https://ca.indeed.com/rc/clk?jk=508c438ebde5eb06&fccid=d40b824c7b625849&vjs=3","9b631cef9156e3ede286880a6be5157985d54e1e377f1d7f347c742b327e978d"
"Software Engineer, AWS Insights Utilization and Coverage","AMZN CAN Fulfillment Svcs, ULC","Vancouver, BC","https://ca.indeed.com/rc/clk?jk=2e47b843041578cf&fccid=fe2d21eef233e94a&vjs=3","f150523f3926733b30fc7d7aa459670968b5c5e6beaf99004a7e5a622650186a"
"Senior Cloud Infrastructure Engineer (Network Specialist)","SADA","Remote in Toronto, ON","https://ca.indeed.com/rc/clk?jk=f965fa9aa38a3489&fccid=b704562e07a2a03f&vjs=3","e9a7333bcad3f79957872ca83632088c76f3647ea20626e7db69d4e16bb1c062"
"Senior DevOps Engineer","Affinity.co","Toronto, ON","https://ca.indeed.com/rc/clk?jk=f33275bdbf96d601&fccid=1b32be4e9bf5cb2a&vjs=3","4c110f6aa12f6169eb268cf49f3f1ea51e4a08b28942061b2d5fc955b655862d"
"Sr. Machine Learning Engineer","407 ETR","Woodbridge, ON","https://ca.indeed.com/company/407-ETR-Concession-Company/jobs/Senior-Machine-Learning-Engineer-07b7100142d86f4d?fccid=a851a4ad1d9e729f&vjs=3","49fa9e9ac2603f4afd0af09fa5d093cf227da0d5484c0eb8d8e2eca76ea6c0bf"
"Cloud Architect","EY","Toronto, ON","https://ca.indeed.com/rc/clk?jk=c9fc0eb8bd57b181&fccid=1544766d4c2915b0&vjs=3","f3a51db37629146e96627b215948e270e9daa2fbf7ac7a922ddb1284136eaf05"
"Senior Data Engineer- Google Cloud Platform(GCP)- Remote","Suvia Technologies Ltd","Remote in Toronto, ON","https://ca.indeed.com/company/Suvia-Technologies-Ltd/jobs/Senior-Data-Engineer-04b588e4b8a69570?fccid=6c4d53d527a78c6c&vjs=3","596c098404268ba5f9b5e62f5bcb5101fabc26e7339632f52479c5025c74ece1"
"Cloud Infrastructure Architect - DevOps, WWPS Professional S...","Amazon Web Services Canada, In","Canada","https://ca.indeed.com/rc/clk?jk=5ebf9958cc337abf&fccid=5cc0cdc6dbb121cc&vjs=3","cb5f31a9db5c29832cd6d9f35d19d1b2d5c946ddbcc9adf9dd603a5b98affed9"
"Software Engineer, AWS Insights Utilization and Coverage","Amazon Dev Centre Canada ULC","Vancouver, BC","https://ca.indeed.com/rc/clk?jk=6b87982569bc2088&fccid=fe2d21eef233e94a&vjs=3","aeb6084664e8deb3f78f274dacaf8937267edbfb3aace7e95b49af8c88f5ca83"
"Senior Engineer- Automation","Teva Pharmaceuticals","Stouffville, ON","https://ca.indeed.com/rc/clk?jk=2400060d01d30cee&fccid=898362c5e54ec4c7&vjs=3","24268d90750ae747f345dd58c13f3c1ab6c3c08a37f126306b716850ec864a69"
"Senior Cloud Infrastructure Engineer (Network Specialist)","SADA","Remote in Vancouver, BC","https://ca.indeed.com/rc/clk?jk=ea7503ab9a7fb5a1&fccid=b704562e07a2a03f&vjs=3","f5118ac619270122cdc779ef71de0a88c1d09edcc0652ce3ee0b16bc8bc0a7c3"
"Senior Cloud Infrastructure Architect (L3206)","Amazon Web Services Canada, In","Canada","https://ca.indeed.com/rc/clk?jk=78275d2c2eb293d8&fccid=5cc0cdc6dbb121cc&vjs=3","7f3515253182762902cfc90a04f249543e3d5b8af686adba862fc0bec50e1422"
"Software Engineer (3-5 Years Experience)","Turnium Technology Group Inc.","Vancouver, BC","https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D5ym48AraG-62LX5-EbPDZFYQwQGts-OP_i5rdLQYILUJuYnDkTnF7WB71EeTEPk6EUUSiqQfLLc1I9BaMX-3-OccUP-WYa631HLOpO7PAEQxlh5xAmRENOEKqJxOo778Q_tTNkmwREsPuOb-2G9zcrZ7ILYIUEuUID9Ruh6GlORnyYIt9KQZR-lD1LYPzwKq45r_5udOtY6neyBDe86VfIEbGf5Aw4fve5WQecBYe08GyvEL-ayPx_I4lpcpgRONZwyh6niDgBvJbSSQE0OkIFodtv0XugsG4eiAmSDvX6k2lBBs4pQCmBdcamc9FUCtkE2m8liWReqoJld3a79N2MskLNqUnIew21_Ur-K3PpM_JIFVUJFHZ4Hn63TvTpIqT1nTq8WSZAnEcfzG9wTX0MH8X0Qp7yeR7AIUwu6jaBxOJttGjNcMD4Iu3awLuqTa8WyJ0YarSblDLj6jvWTY25bU2f_C30RA=&p=13&fvj=1&vjs=3","091e314e133f21fba3448203076e4572647ac6c4bfa4445cd836095565e21c7b"
